ID;airlineCode;airlineDescription;
cc62890b-4481-476a-9a5b-6a319111d919;AA;American Airlines;
93aad5b6-1109-4d2c-9a0d-0a94f3e463c4;2G;CargoItalia ;
4f6afb17-9123-4270-adf5-a1fa8ae33fdb;CO;Continental Airlines;
1be41703-6e5c-4650-8285-9ef0b4c4bdbc;DL;Delta Air Lines;
7c4dc839-bd83-45e0-9c4f-cb0c2f717041;NW;Northwest Airlines;
038701f4-465a-4024-bdc3-19043b1a3c0a;AC;Air Canada;
1a28d294-a19e-41b2-a8dd-ff038d167def;UA;United Airlines Cargo;
eab3b405-1b8a-497f-9c2c-1af36d5f4346;CP;Canadian Airlines Int´l;
0da7f292-3c34-4075-9f4a-91d5586584ca;LH;Lufthansa Cargo AG;
8bfe3c87-655d-4672-8637-0214fe42ccc7;FX;Fedex;
7a3ce8ae-62e0-41eb-bc7f-50c529943fa6;AS;Alaska Airlines;
3417b7b3-63c8-429c-8ea1-5d246758b16d;US;USAirways;
caeeb358-487a-4571-ba80-b803c31740f2;RG;VARIG Brazilian Airlines;
947f9af7-f655-4e1c-8a08-f0bea001b327;KA;Dragonair;
65538d43-0faa-4238-9542-ecdcc55586ae;LA;LAN Chile;
7681f0f8-0a05-4271-9697-58dbe7be579c;TP;TAP Air Portugal;
b9c025aa-78d9-42bb-a693-ba3af7e056be;CY;Cyprus Airways;
3f7435b6-1acf-46e8-9c2c-bd08a9973a5c;OA;Olympic Airways;
c49c4e45-ee23-4bc9-8d97-b56e49a243d2;EI;Aer Lingus Cargo;
7e2ff17d-10f2-41f7-9538-76273a643040;AZ;Alitalia;
9e4f9055-43a9-49d6-92a7-1a0e1614d893;AF;Air France;
5c10dc1f-e9b8-4e6c-a660-5e44ab7874d9;IC;Indian Airlines;
62e4b6b4-1bf0-4138-afd9-37c763044026;HM;Air Seychelles;
120bfa90-301a-4060-967f-f543b87e406b;OK;Czech Airlines;
cc68f582-2f85-4651-b316-17184aa340a5;SV;Saudi Arabian Airlines;
e12a850d-d81c-466b-898d-f52bc28a07ad;RB;Syrian Arab Airlines;
bca320e8-cbcb-485e-b6b7-3c6ca1532161;ET;Ethiopian Airlines;
ad6713fb-f4a0-4e7e-8195-00b688ba51af;GF;Gulf Air;
b1e7fa4f-4540-46eb-99da-0c48209d522f;KL;KLM Cargo;
f30142df-0a30-4297-9232-85e95adb23bc;IB;Iberia;
34eb35ef-d72e-4519-8443-5b51b8d8f2d9;ME;Middle East Airlines;
f0b3205f-0dd6-434d-9658-1c0aac63e05d;MS;Egyptair;
3f8ac52c-97b5-4081-ab1f-78fb3ef36ebf;PR;Philippine Airlines;
bb680a9c-f48e-41a7-9792-da462117abe1;AF;Air France;
6d2a5b3d-fdf0-4639-9c20-02298a1bcc9f;LO;LOT Polish Airlines;
266d919a-0eda-4610-aa59-17e3e634cd9c;QF;Qantas Airways;
6b17d5c0-6810-4b7b-b525-ee84a3c36fb4;SN;Brussels Airlines;
a55fd4d1-f206-4a15-9198-d8969e6aaecd;SA;South African Airways;
0492c87c-a20d-4a25-852f-b3b249eaa751;NZ;Air New Zealand;
fd0f07b3-b36c-4eca-8530-5437cf93f63f;IT;Kingfisher Airlines;
73804bf5-47d9-4b3d-967e-2b4c426c132b;KD;KD Avia;
2d25b108-2805-44f3-b8e3-24dc10a5e791;IR;Iran Air;
861a0eb1-6be3-410c-86ea-e3b07b4e7cdb;AI;Air India;
648b0601-15ae-4e18-a83b-26e99392f2da;AY;Finnair;
39f4702f-02f7-430b-ab2e-112df7882b8f;BW;Caribbean Airlines;
d67ae10c-aeca-498c-9c1c-6fcc523d3285;FI;Icelandair;
1f31bbe8-c653-4e83-bfb4-b581bb39bac9;CK;China Cargo Airlines;
af5dbc8a-78cf-4e9f-abd9-3daee0500ab8;LY;EL AL;
1ef142d5-fd7c-4d3b-853a-c95a9071ddeb;JU;JAT Airways;
ef6f8ef6-a35a-4db7-98bd-d97fc8c71b66;SK;SAS-Scandinavian Airlines System;
e69dccfe-1bf1-4379-bbbb-fb26c950c13d;DT;TAAG Angola Airlines;
8c984f9b-54d9-4c75-a6f4-21dd03f6640f;LM;Air ALM;
d0c0ec6d-89de-4852-89a9-9d5f3ad01f66;AH;Air Algerie;
e491294f-019d-4312-a813-bcdbcd986ce0;BA;British Airways;
633265a4-2e98-4365-8cac-e3ab1172e4f2;GA;Garuda Indonesia;
263d9a3d-0eac-4380-837e-723eb2932ab4;MP;Martinair Cargo;
8cbd7a90-8c51-40db-9a52-41c4ac5da126;JL;Japan Airlines;
ace2283b-631e-4395-b01e-5149c28b6ff9;LR;LACSA Airlines of Costa Rica;
290d79f1-7c3e-490a-aeeb-7593c80e95fb;AM;Aeromexico Cargo;
fd6bc119-a963-45c6-aba1-2862f94c22d6;LI;LIAT Airlines;
5946ce12-ed7b-4bdf-9e40-7c98d89f1dff;AT;Royal Air Maroc;
4e6de223-23ca-4d09-9c5d-3ad90897d68b;LN;Libyan Airlines;
fdedf29c-a9a7-4f69-9720-84f4ffe6e718;QR;Qatar Airways;
60c7f9ce-d8ef-49a8-a2d9-fc7dd98eea48;CX;Cathay Pacific Airways;
d2c41528-24b7-4b99-8635-2a8ba3cd60c4;3V;TNT Airways;
c0aa4c95-1346-4ff9-8cd9-b2789fe62f75;JP;Adria Airways;
25bd2f73-aafa-41b1-9c37-df3a1521282f;CV;Cargolux Airlines;
cf7fe17d-edf1-4e64-bc99-861485e8d9ee;EK;Emirates;
305511b4-19cc-45d3-813f-240d979f37d2;KE;Korean Air;
72795f6e-2742-4222-8136-ebd9a83985a8;MA;Malev Hungarian Airlines;
f63cf9e6-14a8-4bb3-9536-1799218c9508;RG;VARIG Brazilian Airlines;
39828567-dcfa-49f1-b477-e146b9ce9cf6;JI;Jade Cargo International;
a858be2f-8cec-4feb-933e-9290e0b98875;JM;Air Jamaica;
36c65ee1-1ab6-48e0-ab76-0a90f06e9eba;TA;TACA;
3bdcf0ce-d5ac-4d48-9754-526b3a1eb555;NH;ANA All Nippon Cargo;
4af51a6a-7991-4ef0-8dd5-915f39789706;PK;Pakistan Int´l Airlines;
45bd3ce7-af8d-4379-819e-8e24d2a97b93;TG;Thai Airways;
e447f9d9-5634-4797-b2ca-3f37986e3b8c;KU;Kuwait Airways;
b7f4578f-3a87-4730-b5d1-03455c1899d5;CM;Copa Airlines Cargo;
e5bb628c-c27b-485c-8c82-12d2594ac6dc;NG;Lauda Air;
f04d318b-781c-4620-bca2-d157b78b8729;MH;Malaysian Airline System;
b4d71011-6b1f-4400-bfb6-0dc64b9e3d84;JD;Japan Air System;
d6c91ad0-bfff-4801-8ce8-04f8fcbb685c;TK;Turkish Airlines;
b39bc062-5bd3-4ec3-bc6c-85137941abfa;BD;British Midland Airways;
7cdc92eb-4723-46fb-8656-51fc41452084;MK;Air Mauritius;
6428687e-f65b-4c60-ba0a-734084245fa8;OS;Austrian Cargo;
21d297dc-678e-437c-8fd0-98a2f53cf6a6;MD;Air Madagascar;
c549f7e1-d3fa-46fe-85cc-6a178cf9f087;EF;Far Eastern Air Transport;
4c4be4c6-4023-4ca7-86b2-bb4ac1fc3942;LT;LTU (Leisure Cargo);
39172ad1-927c-4f1e-817d-f55d85b7b78e;TL;Trans Mediterranean Airways;
5dbd5d17-9299-4c0d-9cbf-7e507e89c7b4;K4;Kalitta Air;
2c33f898-9e39-4d4d-a253-7b316ab01e62;LD;Air Hong Kong;
d1fc6710-cfde-4210-afe2-19df57ac5fd6;CI;China Airlines;
4eecb7b5-ab55-43ad-8efa-f7d250862a6f;5S;Global Aviation and Services;
2665067f-d823-49b0-82ad-66e810d0c6fb;OO;Sky West Airlines;
d282dbb1-4072-429a-8df4-abe2e7db1439;WE;Centurion Air Cargo;
531bbd40-2a6b-4509-a227-eb7a1aea619f;SC;Shandong Airlines ;
463465d3-597a-4c57-8eda-744dc519f11c;RF;Florida West International Airways;
0384d5d5-f028-4d92-b169-20032b98fbdb;NC;Northern Air Cargo;
6c22a946-fafe-454b-baef-934d25c18bdc;C8;Cargolux Italia;
9671e9e3-ee66-4aef-96e3-06aad664a5c1;5Y;Atlas Air;
12e36e15-08dd-40ea-a736-dea4cdba2b2a;KX;Cayman Airways;
f2a9ef3d-492f-49ec-9963-e6b864d738d8;A3;Aegean Airlines;
511d5dc6-0e68-4fd4-9f63-c5c6e9a96e4d;PO;Polar Air Cargo;
ba103bc5-8c93-42f5-b941-b439afee0a26;JW;Arrow Air;
2eb1b5a8-f092-4bca-9578-b31c08c27a9a;5X;UPS Air Cargo;
3c108313-a763-459f-9496-67252c8b97b2;N8;National Air Cargo;
118adf96-1662-4383-9917-2a9e9ec419b0;S7;Siberia Airlines;
617a135b-46af-4386-aae8-6f2dacee886b;ER;DHL Aviation/DHL Airways;
012f67d1-8f70-455d-a9b0-46ec39943de1;KC;Air Astana;
c376d90f-fe3a-476a-b488-a557ee787b09;ZH;Shenzhen Airlines (Chinese);
