ID;iata;icao;airportDescription;location;country
2cfa9308-9aec-49be-b42c-5645a3a64487;AAC;HEAR;El Arish Intl Airport;El Arish;Egypt
0868878f-5a70-4cc8-b944-0f077370bc2e;AAE;DABB;Annaba - El Mellah Airport;Annaba;Algeria
2e49b6cf-b6a8-42a9-803a-3c2ae9423688;AAL;EKYT;Aalborg Airport;Aalborg;Denmark
a61cd37e-3161-4d67-b40a-bda56dfa96b3;AAM;FAMD;Malamala;Malamala;South Africa
95559bdf-9cc6-4d16-831a-1e15cd96005e;AAN;OMAL;Al Ain Intl;Al Ain;United Arab Emirates
d1e5fdfc-36d1-4688-9a21-7fb5c31840f4;AAO;SVAN;Anaco;Anaco;Venezuela
1d4c8eaa-c4c0-4000-9669-57d16157a37c;AAQ;URKA;Vityazevo Airport;Anapa;Russia
ed06cb5d-4926-46df-a750-d1946c61aa8f;AAR;EKAH;Aarhus Airport;Aarhus;Denmark
f5827109-d4ef-4a5e-91fd-37082532e5ba;AAT;ZWAT;Altay Airport;Altay;China - Peoples Republic
07b6f6e8-8633-4e88-b9bf-f1bfb0101e1f;AAV;RPMA;Allah Valley Airport;Surallah;Philippines
3482b3a4-0013-4f5b-863e-438133d57a5f;AAY;OYGD;Al-Ghaidah;Al-Ghaidah;Yemen
b1df4e68-9f21-4fa8-a3ee-dfd82e09339f;AAZ;MGQZ;Quezaltenango Airport;Quezaltenango;Guatemala
813a397f-75be-40a9-9625-dadf982092b1;ABC;LEAB;Albacete Airport (Mil./Civil);Albacete;Spain
6f505e21-2a6b-48e1-9ff4-5973409f47eb;ABD;OIAA;Abadan Airport;Abadan;Iran
e5716149-1858-4d93-8111-457d0db3e7a1;ABE;KABE;Lehigh Valley Intl Airport;Allentown, Pennsylvania;USA
e9f937b7-eb31-46a1-931d-269159e3d3d0;ABH;YAPH;Alpha Airport;Alpha;Australia
d405b469-881b-4f0e-9b3b-07e8b0997b69;ABI;KABI;Abilene Regional Airport;Abilene, Texas;USA
19c4aa9a-afd1-46a2-9f2b-a99f4ba20a1e;ABJ;DIAP;Felix Houphouet-Boigny;Abidjan;Ivory Coast
bed1e1f2-bba7-4d52-9a69-a74f835dc837;ABK;HAKD;Kebri Dehar;Kebri Dehar;Ethiopia
e6fbd8cd-6d10-4095-bd8f-091bad646d1f;ABO;TJAB;Antonio Juarbe Pol Airport;Arecibo;Puerto Rico
0fc0df19-feb4-46f9-b4d7-fead739a131e;ABQ;KABQ;Albuquerque Intl Sunport;Albuquerque, New Mexico;USA
e6d0f2e3-2c3f-454c-8452-13ec29af2b0e;ABR;KABR;Aberdeen Regional Airport;Aberdeen, South Dakota;USA
03296563-3530-4be2-98b6-ae79f783799e;ABS;HEBL;Abu Simbel Airport;Abu Simbel;Egypt
c7f403fb-0494-4074-866f-15691a4282b1;ABT;OEBA;al-Baha Domestic Airport;al-Baha;Saudi Arabia
f2f61bbc-fd41-4817-b46e-c0971a60539b;ABV;DNAA;Nnamdi Azikiwe;Abuja;Nigeria
c269ad41-488c-4a3e-b274-137532cc67c1;ABX;YMAY;Albury Airport;Albury;Australia
aa65e65c-4b33-47bc-afae-2b77070516ac;ABY;KABY;Southwest Georgia Regional Airport;Albany, Georgia;USA
f88dbdd3-48d4-4ddf-9678-a00711313c48;ABZ;EGPD;Aberdeen Airport;Aberdeen;United Kingdom
284d3c97-68b4-4116-8ca4-1e9cda883254;ACA;MMAA;General Juan N. Alvarez Intl Airport;Acapulco;Mexico
213d4134-b7d4-4b7b-a115-efeeba9df7bc;ACC;DGAA;Kotoka Intl Airport;Accra;Ghana
9028cf49-ccfa-4bdd-ba79-4c78926939ae;ACE;GCRR;Lanzarote Airport (Arrecife Airport);Arrecife, Lanzarote;Spain
1cd2b68e-c1b0-4143-8696-78b6debfcfc3;ACH;LSZR;St Gallen - Altenrhein;St Gallen;Switzerland
7d1e0394-cfd8-4370-8930-49d84385300d;ACI;EGJA;Alderney Airport;Alderney;United Kingdom
4f31cdec-e5ba-4f7d-9420-138502e16eb2;ACK;KACK;Nantucket Memorial Airport;Nantucket, Massachusetts;USA
ad4029c5-7373-4c56-96d3-8ed87a78c3b2;ACR;SKAC;Araracuara;Araracuara;Colombia
bb613c2a-d3dd-4f56-94b1-4145fbbe45b7;ACT;KACT;Waco Regional Airport;Waco, Texas;USA
6d01dfbe-838f-426d-99d5-8630da8d7192;ACV;KACV;Arcata Airport;Arcata/Eureka, California;USA
4ca44a48-b9f3-4771-a4fe-52ec8e544638;ACY;KACY;Atlantic City Intl Airport;Atlantic City, New Jersey;USA
a559401a-c509-4318-b7dd-acccc4a72092;ACZ;OIZB;Zabol Airport;Zabol;Iran
ae880ba3-1aa0-4693-af1f-119536c0858a;ADA;LTAF;Adana Airport;Adana;Turkey
c9afded3-1e31-4f10-b300-b60ad5bf0c8b;ADB;LTBJ;Izmir Adnan Menderes Airport;Izmir;Turkey
f993a099-d131-4aa4-b72a-44dfc38d1f78;ADD;HAAB;Addis Abeba Bole Intl Airport;Addis Abeba;Ethiopia
0eb1fd4c-0b15-4964-98ae-c01a9ecfe6d3;ADE;OYAA;Aden Intl;Aden;Yemen
46843793-2594-4181-9f45-103f2d3f914d;ADF;LTCP;Adiyaman Airport;Adiyaman;Turkey
f162e4e7-b241-48f9-b746-523826b3c18b;ADH;UEAA;Aldan Airport;Aldan;Russia
ad6bfcee-0b11-4660-90f8-33f359477fd3;ADI;FYAR;Arandis;Arandis;Namibia
f5e4f999-2922-4dab-baa4-d88efc108f85;ADJ;OJAM;Marka Intl;Amman;Jordan
