ID;iata;icao;airportDescription;location;country
10439610-bd8c-4b54-ab5d-2579faf413af;AJU;SBAR;Santa Maria Airport;Aracaju;Brazil
2a2630d8-06d7-4218-b458-6c16eca9ac7c;BEL;SBBE;Val de C;Belem;Brazil
e3de7dc9-3b1f-4ce7-8d24-3da0b51be826;BPS;SBPS;Porto Seguro Airport;Porto Seguro;Brazil
ca043457-c413-4815-b8a0-67033c66a3a4;BSB;SBBR;Presidente Juscelino Kubitschek Intl Airport;Brasilia;Brazil
430de34a-4ee1-4266-8b3a-f3d11d6dbcfe;BVB;SBBV;Boa Vista Intl Airport;Boa Vista;Brazil
732e07ba-7cc5-4d88-abae-c316f763f2a4;CGB;SBCY;Marechal Rondon Airport;Cuiaba;Brazil
d246c813-448d-4f3d-8ff8-c921f1f56110;CGH;SBSP;Congonhas Intl Airport;Sao Paulo;Brazil
490ef13f-9ca3-43a7-8b21-66409cda23cc;CGR;SBCG;Campo Grande Intl Airport;Campo Grande;Brazil
ce2d591a-939f-4e94-aad2-0b2d01f2476a;CMG;SBCR;Corumb;Corumba;Brazil
02ba9fde-e3b5-456a-b7fd-0b32c75d13a8;CNF;SBCF;Tancredo Neves Intl Airport;Belo Horizonte;Brazil
c1179f1f-cd25-40cd-b7ac-fee75067c57f;CWB;SBCT;Afonso Pena Intl Airport;Curitiba;Brazil
d172d754-a5a2-4dbe-83b7-aafca5418083;CZS;SBCZ;Cruzeiro do Sul Intl Airport;Cruzeiro do Sul;Brazil
564d0bee-ef22-43f8-936a-37b480568858;FLN;SBFL;Herc;Florianopolis;Brazil
bd8afc20-4e84-4277-bf69-0f229052fa58;FOR;SBFZ;Pinto Martins Intl Airport;Fortaleza;Brazil
6c8ab9b0-2332-4cca-98c7-c44a5d36aa54;GIG;SBGL;Galeao - Antonio Carlos Jobim Intl Airport;Rio de Janeiro;Brazil
996750f3-9ae0-434f-8d2c-40823afcc934;GRU;SBGR;Guarulhos Intl Airport;Sao Paulo;Brazil
3e1e8a57-1d65-491b-9374-c6e312afbfe9;GYN;SBGO;Santa Genoveva Airport;Goiania;Brazil
3a6f7621-f4ea-4229-a9cc-2729d3c90dd8;IGU;SBFI;Foz do Iguacu Intl Airport;Foz do Iguacu;Brazil
1fbbf1b3-166f-44ca-b60d-e24f897acd40;IMP;SBIZ;Prefeito Renato Moreira Airport;Imperatriz;Brazil
9ef2bf07-6bef-4e1d-b1d9-a988dac5e478;IOS;SBIL;Jorge Amado Airport;Ilheus;Brazil
f83d1573-77fb-4bb0-a3e2-cc69b506ddb7;JOI;SBJV;Joinville-Lauro Carneiro de Loyola Airport;Joinville;Brazil
9f2db9d2-3505-44be-9ee5-6e2c2b0000f1;JPA;SBJP;Presidente Castro Pinto Intl Airport;Joao Pessoa;Brazil
f3b80035-ba7e-4571-85a4-7a5d7388a467;LDB;SBLO;Londrina Airport;Londrina;Brazil
392f6ac8-ced2-4ace-a5a3-5eb24ed653bb;MAB;SBMA;Maraba Airport;Maraba;Brazil
a70e60a6-b135-408b-9a97-ec1ff226f453;MAO;SBEG;Eduardo Gomes Intl Airport;Manaus;Brazil
755781a8-8daa-49eb-9069-edbc5d663a08;MCP;SBMQ;Macapa Intl Airport;Macapa;Brazil
04ae8a08-f17a-484a-9829-db658b11bee3;MCZ;SBMO;Zumbi dos Palmares Airport;Maceio;Brazil
8af1790b-5304-47a8-9e5e-9f6a4ab7bd45;MGF;SBMG;Maringa Domestic Airport;Maringa;Brazil
b33bb909-cfd6-44c5-9d89-f9af3776883d;NAT;SBNT;Augusto Severo Intl Airport;Natal;Brazil
